Record Number,pH,TDS (Total Dissolved Solids)
1,7.02,14.84
2,7.07,9.96
3,7.07,12.4
4,7.07,17.27
5,7.07,14.84
6,7.06,14.84
7,7.06,12.4
8,7.07,14.84
9,7.02,12.4
10,7.06,14.84
11,7.11,14.84
12,7.06,9.96
13,7.07,14.84
14,7.06,9.96
15,7.04,14.84
16,7.02,12.4
17,7.02,14.84
18,7.09,9.96
19,7.04,9.96
20,7.07,7.53
21,7.07,9.96
22,7.04,12.4
23,7.06,9.96
24,7.06,12.4
25,7.06,9.96
26,7.07,9.96
27,7.04,17.27
28,7.09,14.84
29,7.02,9.96
30,7.04,9.96
31,7.06,9.96
32,7.06,9.96
33,7.02,7.53
34,7.04,9.96
35,7.07,12.4
36,7.07,9.96
37,7.07,7.53
38,7.09,14.84
39,7.04,12.4
40,7.07,9.96
41,7.11,12.4
42,7.04,9.96
43,7.06,9.96
44,7.06,9.96
45,7.06,9.96
46,7.04,9.96
47,7.06,9.96
48,7.09,9.96
49,7.07,14.84
50,7.07,9.96
51,7.02,9.96
52,7.04,9.96
53,7.09,9.96
54,7.12,9.96
55,7.04,17.27
56,7.02,7.53
57,7.02,12.4
58,7.06,9.96
59,7.04,9.96
60,7.07,7.53
61,7.09,5.09
62,7.02,12.4
63,7.07,7.53
64,7.09,7.53
65,7.12,9.96
66,7.04,12.4
67,7.06,12.4
68,7.09,9.96
69,7.07,9.96
70,7.02,7.53
71,7.06,7.53
72,7.06,7.53
73,7.04,12.4
74,7.07,7.53
75,7.07,9.96
76,7.09,5.09
77,7.04,7.53
78,7.07,2.65
79,7.07,5.09
80,7.02,14.84
81,7.09,9.96
82,7.04,7.53
83,7.02,12.4
84,7.09,2.65
85,7.07,9.96
86,7.06,5.09
87,7.07,5.09
88,7.07,9.96
89,7.06,7.53
90,7.02,12.4
91,7.07,14.84
92,7.06,7.53
93,7.09,9.96
94,7.04,5.09
95,7.04,7.53
96,7.09,9.96
97,7.04,12.4
98,7.09,7.53
99,7.09,7.53
100,7.07,7.53
101,7,7.53
102,7.12,7.53
103,7.07,12.4
104,7.06,5.09
105,7.02,5.09
106,7.07,9.96
107,7.02,7.53
108,7.06,7.53
109,7.07,5.09
110,7.04,7.53
111,7.04,9.96
112,7.06,5.09
113,7.04,9.96
114,7.06,5.09
115,7.07,12.4
116,7.09,12.4
117,7.02,7.53
118,7.06,7.53
119,7.06,7.53
120,7.09,7.53
121,7.04,17.27
122,7.04,7.53
123,7.02,9.96
124,7.09,7.53
125,7.07,9.96
