Record Number,pH (pouvoir hydrogene)
1,7.02
2,7.07
3,7.07
4,7.07
5,7.07
6,7.06
7,7.06
8,7.07
9,7.02
10,7.06
11,7.11
12,7.06
13,7.07
14,7.06
15,7.04
16,7.02
17,7.02
18,7.09
19,7.04
20,7.07
21,7.07
22,7.04
23,7.06
24,7.06
25,7.06
26,7.07
27,7.04
28,7.09
29,7.02
30,7.04
31,7.06
32,7.06
33,7.02
34,7.04
35,7.07
36,7.07
37,7.07
38,7.09
39,7.04
40,7.07
41,7.11
42,7.04
43,7.06
44,7.06
45,7.06
46,7.04
47,7.06
48,7.09
49,7.07
50,7.07
51,7.02
52,7.04
53,7.09
54,7.12
55,7.04
56,7.02
57,7.02
58,7.06
59,7.04
60,7.07
61,7.09
62,7.02
63,7.07
64,7.09
65,7.12
66,7.04
67,7.06
68,7.09
69,7.07
70,7.02
71,7.06
72,7.06
73,7.04
74,7.07
75,7.07
76,7.09
77,7.04
78,7.07
79,7.07
80,7.02
81,7.09
82,7.04
83,7.02
84,7.09
85,7.07
86,7.06
87,7.07
88,7.07
89,7.06
90,7.02
91,7.07
92,7.06
93,7.09
94,7.04
95,7.04
96,7.09
97,7.04
98,7.09
99,7.09
100,7.07
101,7
102,7.12
103,7.07
104,7.06
105,7.02
106,7.07
107,7.02
108,7.06
109,7.07
110,7.04
111,7.04
112,7.06
113,7.04
114,7.06
115,7.07
116,7.09
117,7.02
118,7.06
119,7.06
120,7.09
121,7.04
122,7.04
123,7.02
124,7.09
125,7.07
126,7.09
127,7.09
128,7.06
129,7.06
130,7.02
131,7.02
132,7.06
133,7.09
134,7.06
135,7.02
136,7.06
137,7.02
138,7.04
139,7.07
140,7.09
141,7.06
142,7.04
143,7
144,7.04
145,7.07
146,7
147,7.11
148,7.06
149,7.16
150,7.19
151,7.19
152,7.09
153,7.04
154,7.04
155,7.12
156,7.16
157,7.19
158,7.19
159,7.16
160,7.14
161,7.12
162,7.16
163,7.18
164,7.09
165,7.16
166,7.11
167,7.09
168,7.14
169,7.16
170,7.14
171,7.14
172,7.12
173,7.16
174,7.12
175,7.18
176,7.16
177,7.19
178,7.21
179,7.21
180,7.19
181,7.19
182,7.18
183,7.16
184,7.21
185,7.23
186,7.21
187,7.11
188,7.11
189,7.11
190,7.14
191,7.14
192,7.11
193,7.12
194,7.07
