Record Number,pH (pouvoir hydrogene)
1,7.19
2,7.21
3,7.24
4,7.21
5,7.16
6,7.19
7,7.21
8,7.16
9,7.21
10,7.23
11,7.16
12,7.19
13,7.21
14,7.21
15,7.18
16,7.24
17,7.18
18,7.16
19,7.21
20,7.18
21,7.19
22,7.24
23,7.23
24,7.18
25,7.21
26,7.23
27,7.19
28,7.23
29,7.21
30,7.19
31,7.24
32,7.21
33,7.21
34,7.21
35,7.18
36,7.23
37,7.21
38,7.16
39,7.21
40,7.23
41,7.19
42,7.28
43,7.23
44,7.19
45,7.26
46,7.18
47,7.23
48,7.23
49,7.19
50,7.19
51,7.24
52,7.19
53,7.21
54,7.24
55,7.19
56,7.21
57,7.19
58,7.19
59,7.24
60,7.19
61,7.19
62,7.24
63,7.21
64,7.21
65,7.23
66,7.18
67,7.23
68,7.23
69,7.19
70,7.24
71,7.19
72,7.21
73,7.24
74,7.19
75,7.19
76,7.23
77,7.19
78,7.21
79,7.24
80,7.19
81,7.23
82,7.26
83,7.18
84,7.21
85,7.23
86,7.19
87,7.24
88,7.21
89,7.18
90,7.21
91,7.19
92,7.19
93,7.24
94,7.18
95,7.19
96,7.24
97,7.19
98,7.23
99,7.19
100,7.18
101,7.24
102,7.24
103,7.18
104,7.23
105,7.21
106,7.19
107,7.23
108,7.21
109,7.21
110,7.23
111,7.16
112,7.19
113,7.23
114,7.19
115,7.21
116,7.18
117,7.18
118,7.26
119,7.18
120,7.21
121,7.23
122,7.19
123,7.23
124,7.24
125,7.18
126,7.24
127,7.21
128,7.24
129,7.18
130,7.23
131,7.23
132,7.19
133,7.24
134,7.24
135,7.21
136,7.28
137,7.21
138,7.19
139,7.26
140,7.19
141,7.23
142,7.24
143,7.18
144,7.23
145,7.24
146,7.19
147,7.23
148,7.23
149,7.19
150,7.23
151,7.21
152,7.18
153,7.26
154,7.21
155,7.18
156,7.28
157,7.23
158,7.19
159,7.21
160,7.26
161,7.21
162,7.24
163,7.21
164,7.19
165,7.23
166,7.21
167,7.23
168,7.21
169,7.28
170,7.24
171,7.23
172,7.21
173,7.24
174,7.19
175,7.23
176,7.23
177,7.19
178,7.23
179,7.23
180,7.21
181,7.23
182,7.18
183,7.24
184,7.19
185,7.19
186,7.24
187,7.19
188,7.21
189,7.24
190,7.21
191,7.24
192,7.19
193,7.19
194,7.23
195,7.19
196,7.24
197,7.23
198,7.21
199,7.24
200,7.19
201,7.21
202,7.23
203,7.18
204,7.23
205,7.19
206,7.21
207,7.21
208,7.18
209,7.24
210,7.19
211,7.19
212,7.24
213,7.18
214,7.24
215,7.23
216,7.23
217,7.24
218,7.19
219,7.21
220,7.19
221,7.21
222,7.18
223,7.21
224,7.23
225,7.19
226,7.24
227,7.18
228,7.19
229,7.23
230,7.19
231,7.23
232,7.19
233,7.19
234,7.24
235,7.19
236,7.23
237,7.18
238,7.18
239,7.23
240,7.18
241,7.21
242,7.19
243,7.18
244,7.26
245,7.18
246,7.23
247,7.21
248,7.19
249,7.24
250,7.18
251,7.24
252,7.21
253,7.18
254,7.24
255,7.19
256,7.21
257,7.23
258,7.18
259,7.24
260,7.23
261,7.21
262,7.19
263,7.24
264,7.21
265,7.23
266,7.24
267,7.23
268,7.23
269,7.21
270,7.23
271,7.18
272,7.26
273,7.21
274,7.21
275,7.24
276,7.21
277,7.23
278,7.19
279,7.26
280,7.19
281,7.21
282,7.28
283,7.21
284,7.18
285,7.26
286,7.21
287,7.19
288,7.24
289,7.19
290,7.24
291,7.21
292,7.24
293,7.21
294,7.26
295,7.19
296,7.23
297,7.24
298,7.21
299,7.26
300,7.19
301,7.21
302,7.24
303,7.19
304,7.26
305,7.19
306,7.23
307,7.19
308,7.19
309,7.23
310,7.16
311,7.26
312,7.23
313,7.23
314,7.18
315,7.21
316,7.26
317,7.19
318,7.21
319,7.18
320,7.23
321,7.18
322,7.28
323,7.19
324,7.23
325,7.23
326,7.19
327,7.24
328,7.21
329,7.23
330,7.21
331,7.23
332,7.26
333,7.21
334,7.26
335,7.19
336,7.21
337,7.23
338,7.19
339,7.26
340,7.21
341,7.23
342,7.23
343,7.19
344,7.24
345,7.18
346,7.19
347,7.23
348,7.19
349,7.23
350,7.21
351,7.21
352,7.21
353,7.21
354,7.21
355,7.19
356,7.21
357,7.24
358,7.21
359,7.24
360,7.21
361,7.23
362,7.23
363,7.19
364,7.24
365,7.18
366,7.21
367,7.18
368,7.19
369,7.23
370,7.18
371,7.23
372,7.19
373,7.19
374,7.18
375,7.24
376,7.18
377,7.23
378,7.23
379,7.18
380,7.23
381,7.12
382,7.23
383,7.14
384,7.23
385,7.09
386,7.12
387,7.16
388,7.16
389,7.18
390,7.16
391,7.14
392,7.19
393,7.14
394,7.11
395,7.12
396,7.04
397,7.07
398,7.07
399,7.07
400,7.06
401,7.06
402,7.11
403,7.04
404,7.11
405,7.04
406,7.11
407,7.04
408,7.18
409,7.06
410,7.09
411,7.06
412,7.12
413,7.09
414,7.09
415,7.06
416,7.11
417,7.12
418,7.14
419,7.14
420,7.14
421,7.11
422,7.14
423,7.07
424,7.18
425,7.07
426,7.16
427,7.07
428,7.14
429,7.07
430,7.19
431,7.06
432,7.18
433,7.11
434,7.14
435,7.11
436,7.12
437,7.14
438,7.11
439,7.11
440,7.12
441,7.12
442,7.11
443,7.14
444,7.02
445,7.11
446,7.06
447,7.09
448,7.11
449,7.14
450,7.11
451,7.06
452,7.09
453,7.11
454,7.07
455,7.18
456,7.09
457,7.11
458,7.07
459,7.19
460,7.09
461,7.09
462,7.09
463,7.12
464,7.11
465,7.12
466,7.12
467,7.16
468,7.14
469,7.11
470,7.11
471,7.12
472,7.12
473,7.07
474,7.12
475,7.14
476,7.14
477,7.11
478,7.18
479,7.19
480,7.14
481,7.07
482,7.16
483,7.07
484,7.14
485,7.12
486,7.14
487,7.09
488,7.19
489,7.18
490,7.04
491,7.19
