Record Number,pH (pouvoir hydrogene)
1,5.18568915
2,5.507719112
3,4.962620323
4,4.952010748
5,5.82890385
6,5.745770358
7,6.089400824
8,4.933585435
9,5.654727691
10,5.798159642
11,6.166168282
12,6.339193733
13,4.639991407
14,5.330321658
15,4.650608792
16,6.011370205
17,6.206257724
18,6.383123341
19,4.933187008
20,5.514791817
21,5.231732484
22,5.152372486
23,6.364507325
24,4.812682087
25,6.052199178
26,5.362560043
27,5.222540143
28,5.208329074
29,4.873223516
30,6.051782593
31,5.495711384
32,6.154192838
33,5.273636882
34,5.931828217
35,5.987913624
36,4.918621864
37,4.886524876
38,6.320263715
39,5.260389139
40,5.130481663
41,5.715404783
42,4.660395162
43,5.968100824
44,5.092645345
45,6.241010454
46,4.857674231
47,5.860574538
48,6.065327711
49,4.86509191
50,6.302309737
51,6.296830275
52,5.604271754
53,4.924548863
54,5.361111507
55,5.766430434
56,5.705870641
57,5.525496333
58,5.276509849
59,5.187586992
60,4.743934274
61,5.790374912
62,5.461283304
63,4.693839413
64,5.790665976
65,5.490588455
66,5.724589245
67,5.049160371
68,4.509694104
69,5.965766503
70,4.650040629
71,5.627061414
72,5.415530702
73,6.167867028
74,5.816896577
75,5.724010063
76,6.145166901
77,4.782917848
78,6.238624868
79,5.443719079
80,5.75101081
81,4.922626225
82,6.158709717
83,5.704937692
84,4.6354967
85,4.799207829
86,4.987980479
87,5.202367775
88,5.984241692
89,5.918324157
90,4.703190702
91,6.106548342
92,5.158886016
93,4.936151243
94,5.563919365
95,4.668226122
96,6.337628494
97,5.985053021
98,6.043244059
99,5.333223436
100,6.334118127
101,5.711811535
102,4.767901893
103,5.160312931
104,5.375909309
105,6.041605992
106,5.050341183
107,5.221931983
108,5.413113991
109,6.321960006
110,6.051152935
111,5.861271038
112,5.533574483
113,5.799777386
114,5.182264789
115,5.599719934
116,5.018248311
117,6.170241077
118,6.216515493
119,4.969439478
120,6.215019558
121,6.281244011
122,5.370116267
123,6.30341934
124,5.542312032
125,5.033321673
126,5.737264957
127,5.742313595
128,4.69312014
129,5.592801509
130,6.167598301
131,6.073071311
132,6.28984479
133,5.458558424
134,5.606219106
135,5.994573297
136,6.028072502
137,4.851706115
138,4.725534997
139,5.535976319
140,4.740961269
141,4.785890148
142,4.548676918
143,6.221121453
144,4.879195073
145,4.644130767
146,6.130387452
147,5.620257024
148,5.483785406
149,5.230132538
150,6.257252938
151,5.360241849
152,4.5815259
153,5.482710168
154,4.578006615
155,5.914698964
156,5.123533929
157,6.22334621
158,5.928764574
159,5.991013309
160,5.59553145
161,6.345259927
162,6.008478436
163,4.640928316
164,5.983314978
165,5.029185223
166,5.978909182
167,5.317756182
168,5.55529339
169,6.151431156
170,5.965704751
171,5.173584517
172,5.632819231
173,6.173193762
174,4.672146417
175,5.373627175
176,5.522428818
177,6.336593562
178,5.750072955
179,4.664869724
180,5.633361239
181,5.908672547
182,5.33363319
183,5.803797073
184,4.961191875
185,5.381744356
186,6.141093901
187,5.800818673
188,4.619844234
189,6.050139384
190,5.225159476
191,6.370760889
192,5.945912751
193,5.639866711
194,4.842942128
195,6.023760633
196,5.695656162
197,5.558202712
198,5.563575728
199,6.317389564
200,5.648248862
201,6.068729525
202,5.133959266
203,4.881954399
204,5.265661522
205,5.298056882
206,4.969750801
207,5.902001567
208,6.08995615
209,5.292682004
210,4.836777878
211,5.919245512
212,6.235857039
213,5.219326748
214,5.356874515
215,4.679319173
216,6.237648014
217,5.263280726
218,6.312620042
219,5.899134788
220,6.033871663
221,5.810530015
222,6.013648213
223,5.807539044
224,4.987780328
225,4.961102048
226,6.260949526
227,4.61011176
228,5.096626122
229,5.744651951
230,5.552979791
231,4.557892123
232,4.69961363
233,5.520689945
234,4.997591361
235,5.242580893
236,5.517799865
237,5.185281859
238,6.011180885
239,5.37410354
240,5.664380209
241,4.940943139
242,5.771996056
243,5.712506378
244,5.185050887
245,5.848861517
246,6.060178997
247,5.937747991
248,6.247180526
249,5.221093815
250,5.645237105
251,6.383498775
252,5.280286435
253,4.641193187
254,5.688238702
255,4.729095584
256,6.386892133
257,6.343480959
258,4.867866116
259,5.975568526
260,4.509394133
261,5.758267823
262,4.977833818
263,4.643395571
264,4.738192222
265,6.292729928
266,4.713895035
267,5.378274455
268,4.906104649
269,5.349785804
270,5.573970463
271,5.204440213
272,5.825173507
273,5.828861375
274,4.742760545
275,4.729913607
276,5.334489899
277,5.311458686
278,5.531132815
279,4.882501358
280,6.025029238
281,6.001144016
282,4.707262417
283,4.841800142
284,5.786871893
285,4.561466938
286,5.7175439
287,5.766770027
288,5.269566504
289,6.050591505
290,5.258105125
291,5.521500493
292,6.344251462
293,5.741164785
294,5.356646599
295,6.260544866
296,4.981073046
297,6.169196422
298,6.34012305
299,6.150894904
300,6.339636002
301,6.080159488
302,5.796338207
303,6.085521822
304,6.168435794
305,5.386594201
306,6.265466341
307,5.308625678
308,5.168934221
309,5.221009911
310,4.946696853
311,5.709607249
312,5.078272185
313,6.217427416
314,5.155062355
315,4.772039276
316,5.779345876
317,5.746536774
318,4.898098853
319,6.274730688
320,6.05832936
321,5.94312241
322,5.706964053
323,4.810423484
324,6.194245061
325,5.736292274
326,5.546137542
327,4.854309098
328,5.408804585
329,6.349209536
330,5.041003609
331,5.830658171
332,6.127530882
333,4.924938165
334,6.159860052
335,5.799050879
336,5.97565523
337,5.389208213
338,5.876430298
339,4.989517184
340,4.527749042
341,5.55581252
342,5.169731716
343,5.414310832
344,4.886569309
345,5.468786627
346,5.301156555
347,5.510089301
348,5.839208826
349,5.788601757
350,5.021201585
351,6.378274291
352,5.498405692
353,5.313786751
354,5.737912239
355,6.095793643
356,4.615696288
357,5.716122064
358,5.765661439
359,5.868342383
360,4.521882436
361,5.500608456
362,6.3175591
363,4.973553625
364,5.042144843
365,6.201080239
366,4.887374104
367,4.705110146
368,5.253411157
369,5.855325345
370,5.858625416
371,6.234297038
372,5.483842761
373,6.011594615
374,4.51205613
375,5.711320771
376,4.500211723
377,5.430740406
378,5.061730529
379,5.001594343
380,4.959573943
381,5.838129941
382,5.679314496
383,5.69078525
384,6.315172759
385,4.739119747
386,5.186324664
387,6.236152582
388,5.809679804
389,5.707274126
390,5.186111047
391,5.488912686
392,6.223537531
393,5.327532588
394,5.237159647
395,4.908068904
396,5.434399078
397,4.63299552
398,5.680866815
399,5.632193577
400,5.50871742
401,4.643343714
402,6.385311545
403,6.20685299
404,5.196474406
405,4.598869878
406,5.851968758
407,5.44925818
408,5.001685622
409,4.822664843
410,5.090265369
411,5.43208641
412,5.18398184
413,5.122656059
414,4.859309399
415,5.114665803
416,4.528103722
417,5.774022936
418,4.574603866
419,4.554626321
420,4.992668547
421,5.689142964
422,5.371944947
423,6.151585867
424,6.144777314
425,5.257474349
426,6.119199155
427,6.018129148
428,6.022837623
429,5.218411692
430,5.685155974
431,4.648170316
432,4.665436303
433,4.838211242
434,5.82973097
435,6.219459753
436,5.042924191
437,5.498205008
438,5.385727604
439,5.712764219
440,4.93993384
441,4.796819973
442,4.631775527
443,6.308994115
444,5.425040143
445,5.618034486
446,5.368419077
447,4.570149
448,5.747387673
449,5.540113167
450,4.611829541
451,4.689388051
452,5.713778622
453,5.769697019
454,6.292986088
455,4.883295076
456,4.933183518
457,5.982218663
458,5.284275937
459,5.090090352
460,6.118062845
461,6.247795577
462,5.138106273
463,4.680660963
464,4.502625666
465,5.01484185
466,5.906919883
467,5.60980739
468,6.17798618
469,6.037123766
470,5.44791779
471,5.794935798
472,5.376672937
473,6.37927235
474,6.300011726
475,6.354226636
476,6.397605978
477,4.76355161
478,5.834609716
479,5.043565987
480,5.845453049
481,4.896759447
482,4.688910334
483,5.587583433
484,5.158699639
485,5.490056269
486,6.121767718
487,5.351641088
488,4.690440263
489,5.827996625
490,6.097047908
491,6.193052014
492,4.74567246
493,4.620784794
494,5.077219687
495,5.135798886
496,5.702770107
497,5.681491626
498,4.663852182
499,5.157044477
500,5.369481507
501,4.619159119
502,4.60436208
503,5.687032005
504,6.284556624
505,6.135982407
506,5.296778972
507,5.618338396
508,5.577956174
509,5.588199456
510,6.00032547
511,6.044728418
512,4.510280993
513,5.37624391
514,6.319763018
515,5.879253064
516,5.268249192
517,6.174812433
518,4.99564181
519,4.733817124
520,5.402001992
521,5.412952555
522,4.938361386
523,4.777852388
524,4.756520899
525,6.299998299
526,6.212227456
527,5.355379844
528,5.241913691
529,5.063231743
530,6.303732652
531,4.817742885
532,5.097710914
533,5.189275185
534,4.600922637
535,5.393004895
536,5.844691787
537,4.633866751
538,5.208765205
539,5.337491499
540,5.043691791
541,6.302132243
542,5.764858621
543,4.88908729
544,5.706290417
545,6.151166425
546,5.32043738
547,6.224857858
548,5.389148651
549,4.885285541
550,6.337282317
551,5.027078912
552,5.63930865
553,4.55677479
554,5.876869395
555,6.094168521
556,5.519531001
557,6.096368651
558,5.736382099
559,5.776577095
560,4.881741723
561,5.075680239
562,5.063042832
563,4.52542116
564,4.702949703
565,6.095510393
566,4.621240138
567,6.146160067
568,4.749216319
569,6.309008092
570,5.762320472
571,4.689806351
572,6.001109315
573,6.334302067
574,5.425350679
575,6.053443283
576,6.040617209
577,4.53622335
578,6.247772259
579,6.292736305
580,5.42779057
581,4.507847239
582,5.544221183
583,4.61488394
584,6.10442056
585,6.158972871
586,4.963659769
587,4.670090507
588,5.213637563
589,5.379265548
590,5.757466041
591,5.600880677
592,4.966701819
593,4.775787981
594,5.474443952
595,4.608682775
596,4.87753654
597,5.615988924
598,5.365429618
599,4.742544991
600,5.706577023
601,5.955365728
602,5.302450785
603,4.712308261
604,6.218639021
605,5.661190624
606,6.017977243
607,5.437700519
608,5.266680031
609,5.13771549
610,6.165464191
611,6.231679624
612,6.019291035
613,4.724980777
614,5.715174893
615,5.808132394
616,4.551809179
617,5.121735834
